Player,Team,Pos,Age,MarketValue_M,Minutes,npxG_p90,xA_p90,ProgPasses_p90,ProgCarries_p90,PAdj_TacklesInterceptions_p90,DefDuelWinPct,PassCompletionPct,KeyPasses_p90,BallRecoveries_p90,Pressures_p90,xT_p90,npxG_p90_pctile,xA_p90_pctile,ProgPasses_p90_pctile,ProgCarries_p90_pctile,PAdj_TacklesInterceptions_p90_pctile,DefDuelWinPct_pctile,PassCompletionPct_pctile,KeyPasses_p90_pctile,BallRecoveries_p90_pctile,Pressures_p90_pctile,xT_p90_pctile
Player 115,Lechia Gdańsk,DM/CM,25,0.73,2295,0.1,0.18,6.34,1.16,1.76,64.6,79.2,0.91,5.8,13.0,0.18,36.4,59.3,86.8,3.6,18.2,92.1,41.8,18.9,53.9,12.1,36.4
Player 116,Raków Częstochowa,LB/LWB,28,1.04,2006,0.17,0.36,5.61,6.02,1.38,52.6,75.0,1.3,5.01,12.0,0.22,52.1,96.1,74.3,86.4,9.3,48.6,17.9,45.4,37.5,7.1,59.6
Player 117,Legia Warszawa,RW/LW,24,1.8,1812,0.3,0.32,4.07,7.05,2.27,42.6,76.2,1.71,4.41,15.9,0.31,80.0,91.8,30.7,92.1,36.8,11.8,23.9,63.6,27.9,43.9,87.5
Player 118,Widzew Łódź,AM/SS,27,1.48,1759,0.33,0.22,3.45,6.03,1.69,59.1,77.5,1.72,4.68,12.1,0.21,84.6,73.2,22.9,87.1,16.8,74.3,30.4,64.3,32.9,8.2,54.6
Player 119,Śląsk Wrocław,CM,21,0.35,1669,0.05,0.11,6.34,2.53,3.25,63.3,83.3,0.95,7.17,18.9,0.13,12.9,26.1,86.8,30.0,62.9,87.5,66.4,22.1,80.7,79.3,16.1
Player 120,Widzew Łódź,DM/CM,28,1.19,2188,0.04,0.24,5.71,2.71,3.07,57.6,81.3,0.13,8.37,16.2,0.11,9.6,77.1,75.0,38.9,59.3,69.3,56.4,0.7,95.7,48.9,10.0
Player 121,Zagłębie Lubin,CB,26,1.09,1804,0.08,0.08,4.62,3.24,4.03,71.8,83.7,1.19,8.23,16.8,0.15,26.8,12.5,43.6,51.4,79.6,100.0,67.5,37.9,93.6,56.1,22.9
Player 122,Radomiak Radom,CF,20,1.14,1916,0.43,0.11,2.67,4.16,1.31,45.5,79.8,1.2,5.28,15.9,0.09,95.0,26.1,15.0,66.4,7.1,23.6,46.1,39.3,41.4,43.9,5.7
Player 123,Cracovia,LB/LWB,29,1.41,1507,0.28,0.12,5.34,6.59,1.89,50.7,78.0,1.8,3.21,18.2,0.32,75.0,31.4,66.8,89.3,24.3,42.9,33.6,68.9,8.6,71.4,89.6
Player 124,Raków Częstochowa,RW/LW,27,2.82,1675,0.21,0.1,2.95,4.38,1.61,42.1,68.6,2.19,4.84,11.3,0.36,61.1,21.8,16.4,69.3,15.0,10.7,2.1,85.0,35.0,4.3,96.4
Player 125,Widzew Łódź,AM/SS,24,0.92,1442,0.35,0.2,7.01,5.35,1.97,45.1,76.0,1.96,7.01,14.7,0.25,88.2,66.8,96.4,82.9,25.0,21.8,22.1,75.7,78.6,27.9,70.0
Player 126,Korona Kielce,CM,25,1.68,1944,0.05,0.12,6.77,1.69,3.56,53.7,86.7,0.77,6.99,19.0,0.18,12.9,31.4,93.6,9.3,69.3,54.6,88.9,14.3,77.9,81.4,36.4
Player 127,Radomiak Radom,LB/LWB,27,0.57,1594,0.31,0.14,4.93,2.72,2.53,57.1,83.7,2.27,3.92,12.2,0.19,81.8,38.9,55.0,40.0,44.6,68.6,67.5,87.1,17.9,9.3,43.9
Player 128,Górnik Zabrze,AM/SS,18,2.31,969,0.39,0.2,3.1,5.1,2.59,41.3,73.2,1.37,2.56,14.3,0.31,92.5,66.8,18.2,78.2,47.1,7.9,10.4,49.6,2.9,26.4,87.5
Player 129,Legia Warszawa,DM/CM,18,2.27,1386,0.09,0.12,6.04,2.59,3.71,55.4,87.1,0.63,5.87,18.9,0.08,32.5,31.4,81.4,34.3,73.6,60.4,92.1,6.4,55.0,79.3,3.9
Player 130,Zagłębie Lubin,CF,34,0.69,1111,0.4,0.1,1.55,3.02,1.76,38.9,73.2,1.27,3.75,15.2,0.16,93.6,21.8,4.3,45.0,18.2,4.6,10.4,42.5,15.0,32.9,27.5
Player 131,Pogoń Szczecin,RW/LW,27,0.9,1500,0.3,0.15,4.22,4.94,2.03,53.7,73.6,2.4,4.2,16.1,0.27,80.0,42.9,34.3,76.4,28.6,54.6,12.1,91.1,22.5,47.1,75.4
Player 132,Stal Mielec,RB/RWB,25,0.78,1130,0.19,0.31,3.42,2.6,2.16,44.8,79.0,2.06,4.47,15.3,0.23,55.4,90.0,22.1,35.4,32.1,19.3,39.6,77.5,29.3,35.0,63.2
Player 133,Lech Poznań,CB,30,0.88,1420,0.01,0.05,4.66,1.85,3.83,60.2,81.1,0.61,6.61,16.4,0.2,2.1,7.1,45.0,13.6,75.7,81.4,55.4,5.7,68.6,51.8,50.4
Player 134,Korona Kielce,DM/CM,20,0.52,1874,0.08,0.09,6.44,2.2,3.48,53.3,85.5,1.83,5.92,17.6,0.22,26.8,17.1,87.9,21.1,67.9,51.4,81.1,70.7,56.4,65.4,59.6
Player 135,Radomiak Radom,CF,21,1.65,2134,0.3,0.12,2.23,2.51,2.02,45.1,69.8,1.34,3.42,15.4,0.27,80.0,31.4,9.3,29.3,27.9,21.8,5.0,47.9,10.0,36.8,75.4
Player 136,Motor Lublin,CM,26,1.48,1339,0.11,0.16,4.52,2.56,4.63,56.3,82.9,1.1,6.65,19.6,0.14,40.4,48.6,41.1,32.1,90.0,63.2,64.3,31.4,69.6,86.1,18.6
Player 137,Puszcza Niepołomice,LB/LWB,28,2.94,1769,0.35,0.19,5.07,5.16,1.56,48.9,72.3,2.49,4.04,16.0,0.29,88.2,63.9,62.5,79.3,12.5,35.7,7.1,94.3,20.7,46.1,81.8
Player 138,Widzew Łódź,CM,24,2.24,1201,0.06,0.09,4.97,2.05,4.96,61.1,84.8,1.27,6.49,19.6,0.17,17.5,17.1,57.9,18.6,96.4,82.9,75.0,42.5,67.9,86.1,31.4
Player 139,Raków Częstochowa,DM/CM,19,0.25,2110,0.01,0.16,4.56,2.42,4.07,60.1,86.5,0.83,7.82,16.9,0.19,2.1,48.6,42.1,26.4,80.7,80.0,87.1,16.4,87.9,57.1,43.9
Player 140,Cracovia,DM/CM,27,2.47,1779,0.16,0.23,5.84,1.18,3.59,48.8,85.8,1.3,6.14,15.9,0.16,50.7,75.4,77.9,4.3,70.4,35.0,82.9,45.4,59.3,43.9,27.5
